t=2025-11-23T23:58:06+0530 lvl=info msg="no configuration paths supplied"
t=2025-11-23T23:58:06+0530 lvl=info msg="using configuration at default config path" path="/Users/ayush18/Library/Application Support/ngrok/ngrok.yml"
t=2025-11-23T23:58:06+0530 lvl=info msg="open config file" path="/Users/ayush18/Library/Application Support/ngrok/ngrok.yml" err=nil
t=2025-11-24T00:04:34+0530 lvl=info msg="join connections" obj=join id=3753a84a1e1f l=127.0.0.1:8000 r=[2401:4900:8840:bae0:791b:3427:b12a:e3c4]:60076
t=2025-11-24T00:04:34+0530 lvl=info msg="join connections" obj=join id=300bcd212697 l=127.0.0.1:8000 r=[2401:4900:8840:bae0:791b:3427:b12a:e3c4]:60076
t=2025-11-24T00:05:34+0530 lvl=info msg="join connections" obj=join id=3f5e14470f2c l=127.0.0.1:8000 r=[2401:4900:8840:bae0:791b:3427:b12a:e3c4]:60076
t=2025-11-24T00:05:34+0530 lvl=info msg="join connections" obj=join id=afe8c8919cf8 l=127.0.0.1:8000 r=[2401:4900:8840:bae0:791b:3427:b12a:e3c4]:60076
t=2025-11-24T00:06:34+0530 lvl=info msg="join connections" obj=join id=b30dc9cab7c5 l=127.0.0.1:8000 r=[2401:4900:8840:bae0:791b:3427:b12a:e3c4]:60076
t=2025-11-24T00:06:34+0530 lvl=info msg="join connections" obj=join id=87fbd8a5750f l=127.0.0.1:8000 r=[2401:4900:8840:bae0:791b:3427:b12a:e3c4]:60076
t=2025-11-24T00:07:00+0530 lvl=info msg="join connections" obj=join id=c8e82d8c96d2 l=127.0.0.1:8000 r=[2401:4900:8840:bae0:791b:3427:b12a:e3c4]:60076
t=2025-11-24T00:07:00+0530 lvl=info msg="join connections" obj=join id=c2677e4c7d7f l=127.0.0.1:8000 r=[2401:4900:8840:bae0:791b:3427:b12a:e3c4]:60076
t=2025-11-24T00:07:34+0530 lvl=info msg="join connections" obj=join id=ac37f7288f8c l=127.0.0.1:8000 r=[2401:4900:8840:bae0:791b:3427:b12a:e3c4]:60076
t=2025-11-24T00:07:34+0530 lvl=info msg="join connections" obj=join id=c5eb49157c67 l=127.0.0.1:8000 r=[2401:4900:8840:bae0:791b:3427:b12a:e3c4]:60076
t=2025-11-24T00:07:45+0530 lvl=info msg="join connections" obj=join id=2306e4e91d40 l=127.0.0.1:8000 r=192.140.153.118:59111
t=2025-11-24T00:07:45+0530 lvl=info msg="join connections" obj=join id=09d2802d86ab l=127.0.0.1:8000 r=192.140.153.118:59111
